"beta.sim" "beta.sne" "beta.sor" "survey_id" "alfa"
0.43483297157996 0.107360661732014 0.542193633311974 "1001" 13
0.40898646199851 0.118563975582736 0.527550437581246 "1002" 15
0.482989099254159 0.186176533397909 0.669165632652069 "1005" 7
0.407663989290495 0.148811544173045 0.556475533463541 "1006" 10
0.335386305363272 0.148493499714731 0.483879805078003 "1008" 17
0.369468661309554 0.144239733081689 0.513708394391243 "1009" 18
0.384296345106148 0.160642475315028 0.544938820421176 "1010" 20
0.518005354752343 0.12985977587363 0.647865130625973 "1014" 9
0.472850543031266 0.110400272212045 0.583250815243311 "1015" 13
0.490017211703959 0.183521479777982 0.673538691481941 "1016" 7
0.551315217580278 0.0830928644350554 0.634408082015333 "1017" 12
0.450854254674334 0.1284225911809 0.579276845855234 "1018" 20
0.452201881117544 0.115510035316796 0.567711916434339 "1019" 12
0.572644256680401 0.104589202530922 0.677233459211324 "1021" 11
0.493975903614458 0.368843348835635 0.862819252450093 "1023" 2
0.289156626506024 0.602232939684076 0.8913895661901 "1024" 1
0.539349722251919 0.111638477818681 0.650988200070601 "1025" 18
0.469460509365647 0.164204497886956 0.633665007252604 "1026" 23
0.669787809245641 0.0668154707790322 0.736603280024673 "1029" 12
0.482595500215982 0.10489637952982 0.587491879745802 "1031" 16
0.381312793611369 0.15496687635093 0.536279669962298 "1033" 20
0.420006524108225 0.121667449309375 0.5416739734176 "1034" 18
0.444471726399437 0.10870690492838 0.553178631327817 "1035" 13
0.40281124497992 0.247312960674326 0.650124205654245 "1036" 6
0.515397922024428 0.102057964064096 0.617455886088524 "1037" 13
0.512927634614382 0.0989314370443436 0.611859071658725 "1038" 15
0.492771084337349 0.182389895415827 0.675160979753177 "1039" 7
0.412103977013616 0.111437279417528 0.523541256431143 "1042" 16
0.478992782554087 0.112393490451436 0.591386273005522 "1043" 17
0.49987389605475 0.116400090232692 0.616273986287442 "1044" 19
0.495812091090263 0.104622857436482 0.600434948526745 "1045" 18
0.434152345710498 0.15138545823839 0.585537803948888 "1046" 21
0.465064152714755 0.114626669412813 0.579690822127569 "1047" 12
0.453573217278037 0.114463709085659 0.568036926363695 "1048" 16
0.444354889145818 0.11704628697298 0.561401176118798 "1049" 17
0.435274431057564 0.145958862724547 0.58123329378211 "1050" 10
0.47271807844097 0.102991786369751 0.575709864810721 "1051" 14
0.414429145152037 0.187426050248203 0.60185519540024 "1052" 8
0.535671256454389 0.145760774724176 0.681432031178565 "1065" 8
0.516484118291347 0.105248744482039 0.621732862773386 "1070" 11
0.576510805125263 0.100926077575247 0.67743688270051 "1074" 10
0.179519939297119 0.340580181777864 0.520100121074983 "1081" 31
0.379518072289157 0.447805124306862 0.827323196596019 "1083" 2
0.532376692918862 0.0937694227969943 0.626146115715856 "1086" 13
0.543779881430484 0.130632469765196 0.674412351195679 "1087" 9
0.729919678714859 0.144496346288695 0.874416025003555 "1089" 4
0.692771084337349 0.185199751655344 0.877970835992694 "1090" 3
0.840361445783133 0.0806596605717974 0.92102110635493 "1091" 4
0.347688340190858 0.145682639644779 0.493370979835637 "1092" 19
0.280441580460231 0.178672870745951 0.459114451206182 "1093" 20
0.410762363473207 0.108080481030282 0.518842844503489 "1094" 13
0.485140562248996 0.167576852156109 0.652717414405105 "1095" 8
0.498106277925555 0.104846686797868 0.602952964723423 "1096" 12
0.540743058815348 0.0960986253814352 0.636841684196783 "1098" 11
0.26147302812766 0.230413370702662 0.491886398830322 "1099" 24
0.507926693158798 0.103314047536111 0.611240740694909 "1100" 18
0.554245553643144 0.158298894862381 0.712544448505525 "1106" 7
0.69578313253012 0.126885902208408 0.822669034738528 "1109" 6
0.234838455309331 0.266421845452057 0.501260300761388 "1110" 26
0.470641675239478 0.113870588036067 0.584512263275546 "1117" 17
0.543043184077911 0.0935165377878558 0.636559721865767 "1120" 17
0.399209008433056 0.160854354946214 0.560063363379271 "1121" 21
0.402955110485231 0.135749468978599 0.53870457946383 "1122" 11
0.516594015087991 0.0982554291280857 0.614849444216077 "1123" 16
0.441907891305482 0.114344302882931 0.556252194188413 "1126" 12
0.476892180187715 0.111296819647733 0.588188999835448 "1127" 17
0.349290700171468 0.176220929575466 0.525511629746934 "1130" 21
0.372955650263498 0.214240994292709 0.587196644556207 "1132" 25
0.586789147933726 0.0878770486887666 0.674666196622493 "1142" 11
0.415739767866386 0.15965442004449 0.575394187910876 "1143" 21
0.365763484881132 0.133614640045156 0.499378124926288 "1150" 17
0.400598225500777 0.129125701624227 0.529723927125003 "1151" 17
0.437782732662251 0.121203712794764 0.558986445457015 "1152" 12
0.36736242338652 0.128069558027022 0.495431981413541 "1153" 14
0.414589961577913 0.116447969392757 0.531037930970671 "1158" 13
0.396703697908517 0.119411475268095 0.516115173176612 "1159" 12
0.561241636542841 0.0738499951378613 0.635091631680703 "1160" 14
0.579114727307498 0.0783051625091916 0.65741988981669 "1161" 12
0.677710843373494 0.128052899730715 0.805763743104209 "1165" 6
0.632845668387837 0.127562027842922 0.760407696230759 "1166" 7
0.320941030530502 0.250941962318917 0.571882992849418 "1168" 27
0.963855421686747 0.0172136823154688 0.981069104002216 "1169" 2
0.481526104417671 0.247714657050552 0.729240761468223 "1170" 5
